,,DSA Sheet by AlgoForge ,Contact us here: algoforge.graphy.com,
,,,https://t.me/samratIsLive,
,,,,
,,Always remember why you started. All the very best,,
,,,Make a copy of this sheet,
,,Introduction to any Coding language,,
,FALSE,Data types (Primitive and non-primitve),https://www.w3schools.com/java/java_data_types.asp,
,FALSE,How to take input output,https://www.w3schools.com/java/java_user_input.asp,
,FALSE,Find average of 3 numbers,https://beginnersbook.com/2020/01/java-program-to-find-average-of-3-numbers/,
,,,,
,,Conditionals,,
,FALSE,"Conditionals, if-else statement",Java Conditions and If Statements,
,FALSE,Check postive or negative number,Java: Get a number from the user and print whether it is positive or negative number,
,FALSE,Day of week,https://www.w3resource.com/java-exercises/conditional-statement/java-conditional-statement-exercise-5.php,
,FALSE,Find if year is leap or not,Java Program to Find if a Given Year is a Leap Year - GeeksforGeeks,
,,,,
,FALSE,Operators,https://www.w3schools.com/java/java_operators.asp,
,,,,
,,Loops,,
,FALSE,"While loop, for loop, do while loop",https://www.geeksforgeeks.org/java/loops-in-java/,
,FALSE,Check if a stream of number is even or odd,https://www.geeksforgeeks.org/problems/odd-or-even3618/1,
,FALSE,Find factorial of a number,https://www.geeksforgeeks.org/problems/factorial5739/1,
,FALSE,Check if a number is prime or not in N iterations,https://www.geeksforgeeks.org/java/java-prime-number-program/,
,FALSE,Check if a number is prime or not in root(N) iterations,https://www.geeksforgeeks.org/java/java-prime-number-program/,
,FALSE,Print all prime numbers less than N,https://www.geeksforgeeks.org/dsa/print-all-prime-numbers-less-than-or-equal-to-n/,
,,,,
,,Number System,,
,FALSE,Print fibonacci series,https://www.geeksforgeeks.org/java/java-fibonacci-series/,
,FALSE,Count digits in a number,https://www.geeksforgeeks.org/problems/count-digits-1606889545/1,
,FALSE,Find sum of digits of a number,https://www.geeksforgeeks.org/problems/sum-of-digits1742/1,
,FALSE,Reverse a number,https://www.geeksforgeeks.org/java/java-reverse-number-program/,
,FALSE,Rotate a number by k,https://www.geeksforgeeks.org/dsa/rotate-digits-of-a-given-number-by-k/,
,FALSE,Find GCD of two numbers,https://www.geeksforgeeks.org/problems/gcd-of-two-numbers3459/1,
,FALSE,Find LCM of two numbers,https://www.geeksforgeeks.org/problems/lcm-of-two-numbers/1,
,,,,
,,Patterns,,
,FALSE,Print right angle triangle,https://www.geeksforgeeks.org/java/java-program-to-print-right-triangle-star-pattern/,
,FALSE,Downward triangle star pattern,https://www.geeksforgeeks.org/java/java-program-to-print-downward-triangle-star-pattern/,
,FALSE,Left right angle triangle pattern,https://www.geeksforgeeks.org/java/java-program-to-print-left-triangle-star-pattern/,
,FALSE,Diamond star pattern,https://www.geeksforgeeks.org/java/java-program-to-print-diamond-shape-star-pattern/,
,FALSE,Print star diagonals pattern,https://www.geeksforgeeks.org/dsa/program-print-diagonal-star-patterns/,
,FALSE,Hollow diamond pattern,"https://www.geeksforgeeks.org/dsa/program-print-hollow-pyramid-diamond-pattern/#:~:text=2-,.%20Hollow%20Diamond,-Note%3A%20For",
,FALSE,Number changing pyramid pattern,"https://www.geeksforgeeks.org/java/java-pattern-programs/#5-numberchanging-pyramid-pattern:~:text=1%202%20%0A1-,5.,-Number%2DChanging%20Pyramid",
,FALSE,Fibonacci pyramid pattern,https://www.geeksforgeeks.org/dsa/program-print-fibonacci-triangle/,
,FALSE,Diamond number pattern,https://www.geeksforgeeks.org/dsa/java-program-to-print-numbers-with-diamond-pattern/,
,FALSE,Butterfly half pattern,https://www.geeksforgeeks.org/dsa/program-to-print-butterfly-pattern-star-pattern/,
,FALSE,Hollow hourglass ,"https://www.geeksforgeeks.org/java/java-pattern-programs/#22-hollow-hourglass-pattern:~:text=*%0A%20%20%20%20*%20*%0A%20%20%20*%20%20%20*%0A%20%20*%20%20%20%20%20*%0A%20*%20%20%20%20%20%20%20*%0A*%20%20%20%20%20%20%20%20%20*%0A%20*%20%20%20%20%20%20%20*%0A%20%20*%20%20%20%20%20*%0A%20%20%20*%20%20%20*%0A%20%20%20%20*%20*%0A%20%20%20%20%20*-,22,-.%20Hollow%20Hourglass%20Pattern",
,,,,
,,Functions and Arrays,,
,TRUE,What are functions,https://www.youtube.com/watch?v=HG8tV0zCsBQ,
,TRUE,Frequency of a digit,https://www.geeksforgeeks.org/dsa/find-the-frequency-of-a-digit-in-a-number/,
,TRUE,Convert a decimal base to any base (Use integers as inputs),https://www.geeksforgeeks.org/dsa/convert-base-decimal-vice-versa/,
,TRUE,Convert any base to decimal base (Use integers as inputs),https://www.geeksforgeeks.org/dsa/convert-base-decimal-vice-versa/,
,TRUE,Calculate NcR,https://www.geeksforgeeks.org/problems/ncr1019/1,
,,,,
,,Arrays,"Just the introduction, more questions are of arrays and strings at the end",
,TRUE,Arrays memory allocation in Java,https://medium.com/@f2015939p/array-memory-allocation-in-java-49b292122d18,
,TRUE,Find number of elements greater than x,,
,TRUE,Search in a unsorted array,https://www.geeksforgeeks.org/problems/search-an-element-in-an-array-1587115621/1,
,TRUE,Find the difference between maximum and minimum element of array,https://www.geeksforgeeks.org/problems/find-minimum-and-maximum-element-in-an-array4428/1,
,TRUE,Add two arrays,https://www.geeksforgeeks.org/problems/add-two-numbers-represented-by-two-arrays2408/1,
,FALSE,Subtract two arrays,,
,FALSE,Reverse an array,https://www.geeksforgeeks.org/java/reverse-an-array-in-java/,
,FALSE,Rotate an array,https://leetcode.com/problems/rotate-array/description/,
,FALSE,Print all subarrays,,
,FALSE,Count subarrays having sum K (Use brute force),,
,FALSE,Count subarrays having sum divisible by K (Use brute force),,
,FALSE,Find max sum subarray (Kadane's algorithm),,
,FALSE,Print all subsets of array,,
,,,,
,FALSE,Binary search implementation,https://www.geeksforgeeks.org/dsa/binary-search/,
,FALSE,Find floor value of a given target,https://www.geeksforgeeks.org/problems/floor-in-a-sorted-array-1587115620/1,
,FALSE,Find ceil value of a given target,https://www.geeksforgeeks.org/problems/ceil-in-a-sorted-array/1,
,FALSE,Find first and last position of element,Find First and Last Position of Element in Sorted Array - LeetCode,
,,,,
,,2D Arrays,,
,FALSE,Introduction to 2D arrays,https://www.geeksforgeeks.org/dsa/introduction-to-matrix-or-grid-data-structure-and-algorithms-tutorial/,
,FALSE,Multiply 2 matrices,https://www.geeksforgeeks.org/problems/multiply-2-matrices4144/1,
,FALSE,Wave traversal,,
,FALSE,Exit point of matrix,https://www.geeksforgeeks.org/problems/exit-point-in-a-matrix0905/1,
,FALSE,Spiral matrix,https://leetcode.com/problems/spiral-matrix/description/,
,FALSE,Rotate matrix,https://leetcode.com/problems/rotate-image/description/,
,FALSE,Search a 2d matrix,https://leetcode.com/problems/search-a-2d-matrix/description/,
,FALSE,Search a 2d matrix 2,https://leetcode.com/problems/search-a-2d-matrix-ii/description/,
,FALSE,Diagonal traversal of matrix,,
,,,,
,,Arraylist and Strings,"Just introduction, more questions at end",
,FALSE,Arraylist Introduction,https://www.w3schools.com/java/java_arraylist.asp,
,FALSE,String interning ,https://www.geeksforgeeks.org/java/interning-of-string/,
,FALSE,Compress String by omitting consecutive repeating characters,,
,FALSE,Compress string by concatenationg consecutive character count,,
,FALSE,String compression,https://leetcode.com/problems/string-compression/description/,
,FALSE,Toggle casing of characters,https://www.geeksforgeeks.org/dsa/program-toggle-characters-string/,
,,,,
,,Recursion and Backtracking,,
,FALSE,Understanding call stack ,https://dev.to/theplebdev/java-quickies-the-call-stack-3g4g,
,FALSE,Swap two numbers using function,,
,FALSE,Print decreasing numbers from n to 1,,
,FALSE,Print increasing numbers from 1 to n,,
,FALSE,"Print decreasing from n to 1, then 1 to n in one recursive function",,
,FALSE,Finf factorial of a number,https://www.geeksforgeeks.org/problems/factorial5739/1,
,FALSE,Find power of a number,https://www.geeksforgeeks.org/problems/power-of-numbers-1587115620/1,
,FALSE,Find power logarithmic ,https://www.geeksforgeeks.org/problems/power-of-numbers-1587115620/1,
,FALSE,"Understand pre, in and post area of recursive calls",,
,FALSE,Tower of hanoi,https://www.geeksforgeeks.org/problems/tower-of-hanoi-1587115621/1,
,,,,
,,Recursion on Arrays,,
,FALSE,Print array using recursion,,
,FALSE,Print array in reverse,,
,FALSE,Find max element in array using recursion,,
,FALSE,Find first index of a target element,,
,FALSE,"Find last index of a target element, initial input in function will be idx = 0",,
,FALSE,Return an array consisting of all indices of target element,,
,,,,
,,Recursion on the way Down,,
,FALSE,Return arraylist of all the subsequence of a string,https://www.geeksforgeeks.org/dsa/print-all-subsequences-of-a-string-using-arraylist/,
,FALSE,Get all keypad combinations,https://www.geeksforgeeks.org/problems/possible-words-from-phone-digits-1587115620/1,
,FALSE,"Get all stair paths, 1-2-3 steps allowed at a time",,
,FALSE,Get all maze paths if only right and down step allowed,,
,FALSE,Get all maze paths if only right and down step with jumps allowed,,
,,,,
,,Recursion on the way Up,,
,FALSE,Print all subsequences of a string,https://www.geeksforgeeks.org/dsa/print-subsequences-string/,
,FALSE,Print all keypad combinations,https://www.geeksforgeeks.org/problems/possible-words-from-phone-digits-1587115620/1,
,FALSE,"Print all stair paths, 1-2-3 steps allowed at a time",,
,FALSE,Print all maze paths if only right and down step allowed,,
,FALSE,Print all maze paths if only right and down step with jumps allowed,,
,,,,
,FALSE,Print Encodings of a string,,
,FALSE,Print permutations of a string,,
,FALSE,Get Max path sum in a maze,https://www.geeksforgeeks.org/problems/path-in-matrix3805/1,
,FALSE,Count friends pairing,https://www.geeksforgeeks.org/problems/friends-pairing-problem5425/1,
,FALSE,Josephus Problem,https://www.geeksforgeeks.org/problems/josephus-problem/1,
,,,,
,,Backtracking,,
,FALSE,Flood fill backtracking ,"(Go from 0,0 to n-1,m-1), you can travel on 1, not on you and can move in 4 directions",
,FALSE,Coin change permutation (Generate all the possible answers),https://www.geeksforgeeks.org/problems/number-of-coins1824/1 (this question but one coin can be used one time),
,FALSE,Coin change permutation mutliple use  (Generate all the possible answers),https://www.geeksforgeeks.org/problems/number-of-coins1824/1,
,FALSE,Coin change combination multiple use  (Generate all the possible answers),https://leetcode.com/problems/coin-change-ii/description/ (this question but use one coin one time),
